timestamp,dataset,depth,num_features,num_classes,num_samples_train,approach,test_acc_mean,test_acc_std,test_ce_mean,test_ce_std,val_acc_mean,val_acc_std,num_params
2026-04-16T15:02:49.654582,iris,4,4,3,120,ffnn_0layer_bias,1.0,0.0,0.9445422887802124,0.0011587638075428223,0.9333333969116211,0.0,8
2026-04-16T15:03:11.068915,iris,4,4,3,120,ffnn_0layer_nobias,1.0,0.0,0.9435174822807312,0.0009635336058204087,0.9333333969116211,0.0,8
2026-04-16T15:03:27.637225,iris,4,4,3,120,sampler,1.0,0.0,0.9435959339141846,0.000934114137411825,0.9333333969116211,0.0,4
2026-04-16T15:04:08.754088,car,4,6,4,1382,ffnn_0layer_bias,0.8034681677818298,0.0,1.2599887609481812,1.1262193136368926e-05,0.7919074892997742,0.0,8
2026-04-16T15:04:51.666172,car,4,6,4,1382,ffnn_0layer_nobias,0.7052022814750671,0.0,1.2943002462387085,8.393079009365093e-06,0.6994219422340393,0.0,8
2026-04-16T15:05:25.464152,car,4,6,4,1382,sampler,0.7052022814750671,0.0,1.2943002939224244,8.439276818985191e-06,0.6994219422340393,0.0,4
2026-04-16T15:06:01.450740,car,6,6,4,1382,ffnn_0layer_bias,0.7387283086776734,0.009248542785644532,1.2714647769927978,0.00044729938689999985,0.7572253942489624,0.0,12
2026-04-16T15:06:43.595375,car,6,6,4,1382,ffnn_0layer_nobias,0.7341040372848511,0.0,1.2716960191726685,2.4249361346116567e-05,0.7572253942489624,0.0,12
2026-04-16T15:07:16.824754,car,6,6,4,1382,sampler,0.7341040372848511,0.0,1.2716960191726685,2.4249361346116567e-05,0.7572253942489624,0.0,6
2026-04-16T15:07:46.822719,pima,4,8,2,614,ffnn_0layer_bias,0.7610389471054078,0.013244192562225924,0.6396230578422546,0.0005549970619898702,0.7844155669212342,0.0063623132955557766,8
2026-04-16T15:08:16.928645,pima,4,8,2,614,ffnn_0layer_nobias,0.7532467246055603,0.0,0.6432330131530761,0.00041630685917891104,0.7870129704475403,0.0063623132955557766,8
2026-04-16T15:08:44.322242,pima,4,8,2,614,sampler,0.7532467246055603,0.0,0.6431235432624817,0.000638193184416788,0.7896103739738465,0.009718594090636098,4
2026-04-16T15:09:08.461482,pima,8,8,2,614,ffnn_0layer_bias,0.7402597427368164,0.011615915043635058,0.6344125747680665,0.0003825189280586889,0.8129870057106018,0.01038961410522461,16
2026-04-16T15:09:33.348224,pima,8,8,2,614,ffnn_0layer_nobias,0.7454545378684998,0.010389587283140872,0.6343076705932618,0.00040201697853581406,0.8129870057106018,0.01038961410522461,16
2026-04-16T15:09:56.449655,pima,8,8,2,614,sampler,0.7454545378684998,0.010389587283140872,0.6343049526214599,0.0004009259054746499,0.8129870057106018,0.01038961410522461,8
2026-04-16T15:10:23.172914,australian,4,38,2,552,ffnn_0layer_bias,0.52173912525177,0.0,0.6844128131866455,2.920019319991086e-08,0.6231884360313416,0.0,8
2026-04-16T15:10:47.682443,australian,4,38,2,552,ffnn_0layer_nobias,0.7681159377098083,0.0,0.6477730870246887,1.153937302312887e-05,0.6521739363670349,0.0,8
2026-04-16T15:11:10.330702,australian,4,38,2,552,sampler,0.7681159377098083,0.0,0.6477734446525574,1.1263417034764488e-05,0.6521739363670349,0.0,4
2026-04-16T15:11:45.281497,australian,8,38,2,552,ffnn_0layer_bias,0.9130434989929199,0.0,0.5422857761383056,1.5177997145669487e-05,0.8550724983215332,0.0,16
2026-04-16T15:12:09.323746,australian,8,38,2,552,ffnn_0layer_nobias,0.9130434989929199,0.0,0.5424394965171814,3.894877085773251e-05,0.8550724983215332,0.0,16
2026-04-16T15:12:35.647342,australian,8,38,2,552,sampler,0.9130434989929199,0.0,0.5424152851104737,4.3556986394905996e-05,0.8550724983215332,0.0,8
2026-04-16T15:13:04.354265,australian,12,38,2,552,ffnn_0layer_bias,0.9275362491607666,0.0,0.5380286455154419,6.794025335889214e-05,0.8260869979858398,0.0,24
2026-04-16T15:13:33.599071,australian,12,38,2,552,ffnn_0layer_nobias,0.9275362491607666,0.0,0.5378186821937561,4.7817094348650515e-05,0.8260869979858398,0.0,24
2026-04-16T15:13:58.185074,australian,12,38,2,552,sampler,0.9275362491607666,0.0,0.5378062844276428,7.470268368232674e-05,0.8260869979858398,0.0,12
2026-04-16T15:14:18.548773,lymph,4,47,2,113,ffnn_0layer_bias,0.8000000715255737,0.0,0.6272806286811828,5.037914898184642e-07,0.5714285969734192,0.0,8
2026-04-16T15:14:37.721589,lymph,4,47,2,113,ffnn_0layer_nobias,0.6666666865348816,0.0,0.6692084431648254,3.320786542221098e-07,0.4285714626312256,0.0,8
2026-04-16T15:14:55.484433,lymph,4,47,2,113,sampler,0.6666666865348816,0.0,0.6692087888717652,2.342090929077685e-07,0.4285714626312256,0.0,4
2026-04-16T15:15:12.942142,lymph,8,47,2,113,ffnn_0layer_bias,0.7333333492279053,0.0,0.6790975213050843,1.7438815639409772e-07,0.5,0.0,16
2026-04-16T15:15:30.403124,lymph,8,47,2,113,ffnn_0layer_nobias,0.7333333492279053,0.0,0.6790973305702209,7.48839319922419e-07,0.5,0.0,16
2026-04-16T15:15:48.516616,lymph,8,47,2,113,sampler,0.7333333492279053,0.0,0.6790970921516418,9.130217618401818e-07,0.5,0.0,8
2026-04-16T15:16:07.238557,lymph,12,47,2,113,ffnn_0layer_bias,0.7333333492279053,0.0,0.6626899123191834,0.0004418948625768862,0.5,0.0,24
2026-04-16T15:16:30.858524,lymph,12,47,2,113,ffnn_0layer_nobias,0.746666693687439,0.026666688919067386,0.6645981192588806,0.0010005286238879015,0.5,0.0,24
2026-04-16T15:16:45.871237,lymph,12,47,2,113,sampler,0.8000000715255737,0.0,0.6660001158714295,0.0011278074362347048,0.5,0.0,12
2026-04-16T15:17:10.449746,breast,4,9,2,559,ffnn_0layer_bias,0.9571428894996643,0.0,0.5266294836997986,0.00040373050027553783,0.8999999761581421,0.0,8
2026-04-16T15:17:34.510775,breast,4,9,2,559,ffnn_0layer_nobias,0.9714285731315613,0.0,0.5133851885795593,0.00010025705648418357,0.9142857193946838,0.0,8
2026-04-16T15:17:56.681562,breast,4,9,2,559,sampler,0.9714285731315613,0.0,0.5133858323097229,9.915129733690851e-05,0.9142857193946838,0.0,4
2026-04-16T15:18:21.204749,breast,8,9,2,559,ffnn_0layer_bias,0.9800000190734863,0.006998556305188634,0.5038568377494812,0.0004889208606912512,0.9285714626312256,0.0,16
2026-04-16T15:18:48.026775,breast,8,9,2,559,ffnn_0layer_nobias,0.9800000190734863,0.006998556305188634,0.5037286162376404,0.00021185152171687306,0.9257143139839172,0.005714297294616699,16
2026-04-16T15:19:09.790074,breast,8,9,2,559,sampler,0.9800000190734863,0.006998556305188634,0.5037292003631592,0.00021342422208590073,0.9257143139839172,0.005714297294616699,8
2026-04-16T15:19:34.474616,breast,9,9,2,559,ffnn_0layer_bias,0.9971428632736206,0.005714273452758789,0.503052043914795,0.0003614632370512006,0.9285714626312256,0.0,18
2026-04-16T15:19:57.008832,breast,9,9,2,559,ffnn_0layer_nobias,0.9971428632736206,0.005714273452758789,0.5029543995857239,0.00012122448044585754,0.9285714626312256,0.0,18
2026-04-16T15:20:19.860140,breast,9,9,2,559,sampler,0.9971428632736206,0.005714273452758789,0.50295569896698,0.00012299748877400403,0.9285714626312256,0.0,9
2026-04-16T15:20:37.378619,heart,4,20,2,189,ffnn_0layer_bias,0.5609756112098694,0.0,0.6651228308677674,0.0002734824571072181,0.625,0.0,8
2026-04-16T15:20:54.147249,heart,4,20,2,189,ffnn_0layer_nobias,0.707317054271698,0.0,0.638403844833374,7.25020608794457e-05,0.824999988079071,0.0,8
2026-04-16T15:21:11.580705,heart,4,20,2,189,sampler,0.707317054271698,0.0,0.6384175419807434,6.776291608735225e-05,0.824999988079071,0.0,4
2026-04-16T15:21:29.057380,heart,8,20,2,189,ffnn_0layer_bias,0.7560975551605225,0.0,0.6214647769927979,0.0006044042548698197,0.7750000357627869,0.0,16
2026-04-16T15:21:46.094903,heart,8,20,2,189,ffnn_0layer_nobias,0.7560975551605225,0.0,0.6213656783103942,0.00032862357498681397,0.7750000357627869,0.0,16
2026-04-16T15:22:02.844422,heart,8,20,2,189,sampler,0.7560975551605225,0.0,0.6213754057884217,0.00033147631509568206,0.7750000357627869,0.0,8
