dataset,depth,approach,run_idx,seed,test_acc,test_ce,val_acc,val_ce
iris,4,ffnn_0layer_bias,1,1276,1.0,0.9427444934844971,0.9333333969116211,0.9235735535621643
iris,4,ffnn_0layer_bias,2,1318,1.0,0.9438828825950623,0.9333333969116211,0.9237489700317383
iris,4,ffnn_0layer_bias,3,1360,1.0,0.9446335434913635,0.9333333969116211,0.9235416650772095
iris,4,ffnn_0layer_bias,4,1402,1.0,0.9460713863372803,0.9333333969116211,0.9238246083259583
iris,4,ffnn_0layer_bias,5,1444,1.0,0.9453791379928589,0.9333333969116211,0.9237934350967407
iris,4,ffnn_0layer_nobias,1,1276,1.0,0.9432421922683716,0.9333333969116211,0.9232113361358643
iris,4,ffnn_0layer_nobias,2,1318,1.0,0.9421510100364685,0.9333333969116211,0.9237579703330994
iris,4,ffnn_0layer_nobias,3,1360,1.0,0.9430862069129944,0.9333333969116211,0.9231067299842834
iris,4,ffnn_0layer_nobias,4,1402,1.0,0.9449807405471802,0.9333333969116211,0.9236753582954407
iris,4,ffnn_0layer_nobias,5,1444,1.0,0.9441272616386414,0.9333333969116211,0.9236025214195251
iris,4,sampler,1,1276,1.0,0.9430192112922668,0.9333333969116211,0.9231294989585876
iris,4,sampler,2,1318,1.0,0.9428079128265381,0.9333333969116211,0.9240120053291321
iris,4,sampler,3,1360,1.0,0.9427055716514587,0.9333333969116211,0.9229157567024231
iris,4,sampler,4,1402,1.0,0.9449155330657959,0.9333333969116211,0.923708975315094
iris,4,sampler,5,1444,1.0,0.9445314407348633,0.9333333969116211,0.923597514629364
car,4,ffnn_0layer_bias,1,1276,0.8034681677818298,1.2599979639053345,0.7919074892997742,1.2558754682540894
car,4,ffnn_0layer_bias,2,1318,0.8034681677818298,1.2599796056747437,0.7919074892997742,1.255859136581421
car,4,ffnn_0layer_bias,3,1360,0.8034681677818298,1.2599928379058838,0.7919074892997742,1.255872368812561
car,4,ffnn_0layer_bias,4,1402,0.8034681677818298,1.2599718570709229,0.7919074892997742,1.2558525800704956
car,4,ffnn_0layer_bias,5,1444,0.8034681677818298,1.260001540184021,0.7919074892997742,1.2558789253234863
car,4,ffnn_0layer_nobias,1,1276,0.7052022814750671,1.2943083047866821,0.6994219422340393,1.293339490890503
car,4,ffnn_0layer_nobias,2,1318,0.7052022814750671,1.294310212135315,0.6994219422340393,1.2933320999145508
car,4,ffnn_0layer_nobias,3,1360,0.7052022814750671,1.2942910194396973,0.6994219422340393,1.2933261394500732
car,4,ffnn_0layer_nobias,4,1402,0.7052022814750671,1.2943015098571777,0.6994219422340393,1.2933306694030762
car,4,ffnn_0layer_nobias,5,1444,0.7052022814750671,1.2942901849746704,0.6994219422340393,1.293318510055542
car,4,sampler,1,1276,0.7052022814750671,1.2943085432052612,0.6994219422340393,1.293339490890503
car,4,sampler,2,1318,0.7052022814750671,1.294310212135315,0.6994219422340393,1.2933320999145508
car,4,sampler,3,1360,0.7052022814750671,1.2942910194396973,0.6994219422340393,1.2933262586593628
car,4,sampler,4,1402,0.7052022814750671,1.2943015098571777,0.6994219422340393,1.2933305501937866
car,4,sampler,5,1444,0.7052022814750671,1.2942901849746704,0.6994219422340393,1.293318510055542
car,6,ffnn_0layer_bias,1,1276,0.7341040372848511,1.2716912031173706,0.7572253942489624,1.2632222175598145
car,6,ffnn_0layer_bias,2,1318,0.7341040372848511,1.2717158794403076,0.7572253942489624,1.263230562210083
car,6,ffnn_0layer_bias,3,1360,0.7572253942489624,1.2705707550048828,0.7572253942489624,1.265542984008789
car,6,ffnn_0layer_bias,4,1402,0.7341040372848511,1.2716782093048096,0.7572253942489624,1.263200283050537
car,6,ffnn_0layer_bias,5,1444,0.7341040372848511,1.2716678380966187,0.7572253942489624,1.2631919384002686
car,6,ffnn_0layer_nobias,1,1276,0.7341040372848511,1.2716848850250244,0.7572253942489624,1.2632147073745728
car,6,ffnn_0layer_nobias,2,1318,0.7341040372848511,1.271706223487854,0.7572253942489624,1.2632249593734741
car,6,ffnn_0layer_nobias,3,1360,0.7341040372848511,1.2717258930206299,0.7572253942489624,1.2632418870925903
car,6,ffnn_0layer_nobias,4,1402,0.7341040372848511,1.2717080116271973,0.7572253942489624,1.2632274627685547
car,6,ffnn_0layer_nobias,5,1444,0.7341040372848511,1.2716550827026367,0.7572253942489624,1.2631824016571045
car,6,sampler,1,1276,0.7341040372848511,1.2716848850250244,0.7572253942489624,1.2632147073745728
car,6,sampler,2,1318,0.7341040372848511,1.271706223487854,0.7572253942489624,1.2632249593734741
car,6,sampler,3,1360,0.7341040372848511,1.2717258930206299,0.7572253942489624,1.2632418870925903
car,6,sampler,4,1402,0.7341040372848511,1.2717080116271973,0.7572253942489624,1.2632274627685547
car,6,sampler,5,1444,0.7341040372848511,1.2716550827026367,0.7572253942489624,1.2631824016571045
pima,4,ffnn_0layer_bias,1,1276,0.7662337422370911,0.6390683054924011,0.7922077775001526,0.6305890679359436
pima,4,ffnn_0layer_bias,2,1318,0.7662337422370911,0.6395025253295898,0.7792207598686218,0.6301771402359009
pima,4,ffnn_0layer_bias,3,1360,0.7792207598686218,0.6390378475189209,0.7792207598686218,0.6300950050354004
pima,4,ffnn_0layer_bias,4,1402,0.7402597665786743,0.6400521397590637,0.7922077775001526,0.6308997273445129
pima,4,ffnn_0layer_bias,5,1444,0.7532467246055603,0.6404544711112976,0.7792207598686218,0.6290523409843445
pima,4,ffnn_0layer_nobias,1,1276,0.7532467246055603,0.6427623629570007,0.7922077775001526,0.6301194429397583
pima,4,ffnn_0layer_nobias,2,1318,0.7532467246055603,0.6434304714202881,0.7792207598686218,0.6299467086791992
pima,4,ffnn_0layer_nobias,3,1360,0.7532467246055603,0.6428958773612976,0.7922077775001526,0.6297121644020081
pima,4,ffnn_0layer_nobias,4,1402,0.7532467246055603,0.6439294219017029,0.7792207598686218,0.6305093169212341
pima,4,ffnn_0layer_nobias,5,1444,0.7532467246055603,0.6431469321250916,0.7922077775001526,0.6294025778770447
pima,4,sampler,1,1276,0.7532467246055603,0.6420295238494873,0.8051947951316833,0.6299726963043213
pima,4,sampler,2,1318,0.7532467246055603,0.643429696559906,0.7792207598686218,0.6299466490745544
pima,4,sampler,3,1360,0.7532467246055603,0.642894446849823,0.7922077775001526,0.6297119855880737
pima,4,sampler,4,1402,0.7532467246055603,0.6439288854598999,0.7792207598686218,0.6305091381072998
pima,4,sampler,5,1444,0.7532467246055603,0.6433351635932922,0.7922077775001526,0.6294562220573425
pima,8,ffnn_0layer_bias,1,1276,0.7532467246055603,0.6348307728767395,0.7922077775001526,0.6263853311538696
pima,8,ffnn_0layer_bias,2,1318,0.7402597665786743,0.6336955428123474,0.8181818127632141,0.6246297955513
pima,8,ffnn_0layer_bias,3,1360,0.7272727489471436,0.634423017501831,0.8181818127632141,0.6247537732124329
pima,8,ffnn_0layer_bias,4,1402,0.7272727489471436,0.6345778107643127,0.8181818127632141,0.6258974671363831
pima,8,ffnn_0layer_bias,5,1444,0.7532467246055603,0.6345357298851013,0.8181818127632141,0.6246238946914673
pima,8,ffnn_0layer_nobias,1,1276,0.7402597665786743,0.6346703767776489,0.8051947951316833,0.625961184501648
pima,8,ffnn_0layer_nobias,2,1318,0.7272727489471436,0.6337504982948303,0.8051947951316833,0.6248217225074768
pima,8,ffnn_0layer_nobias,3,1360,0.7532467246055603,0.6340134143829346,0.8181818127632141,0.6244081258773804
pima,8,ffnn_0layer_nobias,4,1402,0.7532467246055603,0.634269118309021,0.8051947951316833,0.6254521012306213
pima,8,ffnn_0layer_nobias,5,1444,0.7532467246055603,0.6348349452018738,0.8311688303947449,0.6248534917831421
