timestamp,dataset,depth,num_features,num_classes,num_samples_train,approach,optimizer,learning_rate,test_acc_mean,test_acc_std,test_ce_mean,test_ce_std,val_acc_mean,val_acc_std
2026-04-16T23:58:36.182461,iris,4,4,3,120,ffnn_0layer,adam,0.001,0.8533333539962769,0.15999999642372298,0.9630651593208313,0.017931238691959846,0.8800000548362732,0.07774604311922713
2026-04-16T23:58:55.448590,iris,4,4,3,120,ffnn_0layer,adam,0.005,1.0,0.0,0.9436837911605835,0.0009577388756215317,0.9333333969116211,0.0
2026-04-16T23:59:13.449532,iris,4,4,3,120,ffnn_0layer,adam,0.01,1.0,0.0,0.944571590423584,0.0011469310777690433,0.9333333969116211,0.0
2026-04-16T23:59:30.595359,iris,4,4,3,120,ffnn_0layer,adam,0.05,1.0,0.0,0.9430792689323425,0.0021741787752125753,0.9333333969116211,0.0
2026-04-16T23:59:46.312535,iris,4,4,3,120,ffnn_0layer,adam,0.1,0.9600000143051147,0.0799999713897705,0.9468952894210816,0.011861603707312835,0.9200000643730164,0.026666665077209474
2026-04-17T00:00:03.072345,iris,4,4,3,120,ffnn_0layer,sgd,0.001,0.8666667103767395,0.09428089853863106,0.9717825174331665,0.010099648641041707,0.9200000643730164,0.026666665077209474
2026-04-17T00:00:21.135826,iris,4,4,3,120,ffnn_0layer,sgd,0.005,0.8666667103767395,0.09428089853863106,0.9712429404258728,0.010163852208027057,0.9200000643730164,0.026666665077209474
2026-04-17T00:00:40.113950,iris,4,4,3,120,ffnn_0layer,sgd,0.01,0.8666667103767395,0.09428089853863106,0.9705872535705566,0.010222568883385776,0.9200000643730164,0.026666665077209474
2026-04-17T00:00:58.383745,iris,4,4,3,120,ffnn_0layer,sgd,0.05,0.8933333873748779,0.07999997933705845,0.966086995601654,0.009958305228453966,0.9333333969116211,0.0
2026-04-17T00:01:15.827353,iris,4,4,3,120,ffnn_0layer,sgd,0.1,0.8933333873748779,0.07999997933705845,0.9618010282516479,0.009336266849384949,0.9333333969116211,0.0
2026-04-17T00:01:31.093090,iris,4,4,3,120,sampler,adam,0.001,0.893333375453949,0.09043106808214342,0.9874659061431885,0.013343276363198115,0.946666705608368,0.04988873669536757
2026-04-17T00:01:48.416302,iris,4,4,3,120,sampler,adam,0.005,0.8933333396911621,0.130639445161718,0.9528093934059143,0.01310411272599306,0.9066667318344116,0.03265986129042949
2026-04-17T00:02:03.372227,iris,4,4,3,120,sampler,adam,0.01,1.0,0.0,0.9436527013778686,0.0010580144268897075,0.9333333969116211,0.0
2026-04-17T00:02:19.622083,iris,4,4,3,120,sampler,adam,0.05,1.0,0.0,0.943168294429779,0.0021492441629006164,0.9333333969116211,0.0
2026-04-17T00:02:35.065790,iris,4,4,3,120,sampler,adam,0.1,1.0,0.0,0.9430788040161133,0.002173476851386978,0.9333333969116211,0.0
2026-04-17T00:02:51.608341,iris,4,4,3,120,sampler,sgd,0.001,0.9066667318344116,0.03265986129042949,0.9990160226821899,0.009492656712456152,0.9066667318344116,0.0326598612904295
2026-04-17T00:03:08.667361,iris,4,4,3,120,sampler,sgd,0.005,0.8933333992958069,0.05333333015441894,0.9985704183578491,0.009803890968838592,0.9066667318344116,0.0326598612904295
2026-04-17T00:03:24.991590,iris,4,4,3,120,sampler,sgd,0.01,0.8933333992958069,0.05333333015441894,0.9979978203773499,0.010218115459149246,0.9200000643730164,0.026666665077209474
2026-04-17T00:03:41.131763,iris,4,4,3,120,sampler,sgd,0.05,0.8666667222976685,0.08432741809349674,0.9930179834365844,0.014117938556873964,0.9200000643730164,0.026666665077209474
2026-04-17T00:03:57.145168,iris,4,4,3,120,sampler,sgd,0.1,0.8933333635330201,0.10832049973595126,0.9866774439811706,0.01764295914726589,0.9333333849906922,0.04216368077378477
2026-04-17T00:04:32.400038,car,4,6,4,1382,ffnn_0layer,adam,0.001,0.7630057334899902,0.0,1.2718987703323363,0.0020436183298649206,0.7687861323356628,0.0
2026-04-17T00:05:10.343394,car,4,6,4,1382,ffnn_0layer,adam,0.005,0.8034681677818298,0.0,1.2599789381027222,7.031771919670209e-06,0.7919074892997742,0.0
2026-04-17T00:05:48.990064,car,4,6,4,1382,ffnn_0layer,adam,0.01,0.8034681677818298,0.0,1.2599887609481812,1.1262193136368926e-05,0.7919074892997742,0.0
2026-04-17T00:06:21.908207,car,4,6,4,1382,ffnn_0layer,adam,0.05,0.797687828540802,0.011560678482055664,1.2605758666992188,0.0011499067951666912,0.7895953536033631,0.004624271392822266
2026-04-17T00:06:56.841414,car,4,6,4,1382,ffnn_0layer,adam,0.1,0.7953756928443909,0.011327105344563819,1.2615094900131225,0.0018978681636858472,0.7884392857551574,0.004624271392822266
2026-04-17T00:07:32.684858,car,4,6,4,1382,ffnn_0layer,sgd,0.001,0.7294797539710999,0.01434644007871884,1.2923975706100463,0.007011928029123212,0.7213872790336608,0.009944891061961798
2026-04-17T00:08:06.893701,car,4,6,4,1382,ffnn_0layer,sgd,0.005,0.731791889667511,0.01396883871696727,1.2919024705886841,0.006786616391055568,0.723699414730072,0.009944893833515689
2026-04-17T00:08:41.079136,car,4,6,4,1382,ffnn_0layer,sgd,0.01,0.7341040253639222,0.015073298879076408,1.2914072036743165,0.006642894134575701,0.7248554825782776,0.010720954032107382
2026-04-17T00:09:15.402706,car,4,6,4,1382,ffnn_0layer,sgd,0.05,0.7364161610603333,0.016592713386638855,1.2875791311264038,0.009385156306889223,0.73410404920578,0.017909749177524657
2026-04-17T00:09:49.186742,car,4,6,4,1382,ffnn_0layer,sgd,0.1,0.7526011109352112,0.020809245109558103,1.278105664253235,0.010970521779882603,0.7595375776290894,0.018497109413146973
2026-04-17T00:10:21.123260,car,4,6,4,1382,sampler,adam,0.001,0.7606936097145081,0.00784084593295391,1.275263214111328,0.0057512123652802265,0.7549132943153382,0.01699068721703893
2026-04-17T00:10:53.960786,car,4,6,4,1382,sampler,adam,0.005,0.8034681677818298,0.0,1.2599825143814087,6.354470160600613e-06,0.7919074892997742,0.0
2026-04-17T00:11:26.437863,car,4,6,4,1382,sampler,adam,0.01,0.8034681677818298,0.0,1.2599789381027222,7.027728858699775e-06,0.7919074892997742,0.0
2026-04-17T00:11:58.160555,car,4,6,4,1382,sampler,adam,0.05,0.8034681677818298,0.0,1.2600083112716676,2.648415133784586e-05,0.7919074892997742,0.0
2026-04-17T00:12:33.276467,car,4,6,4,1382,sampler,adam,0.1,0.797687828540802,0.011560678482055664,1.2605758666992188,0.0011499067951666912,0.7895953536033631,0.004624271392822266
2026-04-17T00:13:06.585520,car,4,6,4,1382,sampler,sgd,0.001,0.7271676301956177,0.006740976010063977,1.298394513130188,0.0018694286968817348,0.7248554706573487,0.014439310474823013
2026-04-17T00:13:38.991319,car,4,6,4,1382,sampler,sgd,0.005,0.7260115623474122,0.005894812517037404,1.2982863903045654,0.0019410028917961914,0.7225433349609375,0.012664115975051111
2026-04-17T00:14:13.641449,car,4,6,4,1382,sampler,sgd,0.01,0.7213872790336608,0.008495351719687341,1.298119878768921,0.002046194431711832,0.7225433468818665,0.008954886131153646
2026-04-17T00:14:53.651696,car,4,6,4,1382,sampler,sgd,0.05,0.7283236861228943,0.009672378937907386,1.2936390161514282,0.005037137582501195,0.7283236980438232,0.0063320443846864695
2026-04-17T00:15:52.649431,car,4,6,4,1382,sampler,sgd,0.1,0.7433525681495666,0.01955090106568872,1.2844521045684814,0.007650927218818052,0.742196524143219,0.016184969459266924
2026-04-17T00:16:33.372025,car,6,6,4,1382,ffnn_0layer,adam,0.001,0.7387283086776734,0.009248542785644532,1.2714657068252564,0.0004501160205254314,0.7572253942489624,0.0
2026-04-17T00:17:24.325575,car,6,6,4,1382,ffnn_0layer,adam,0.005,0.7341040372848511,0.0,1.2716960191726685,2.4249361346116567e-05,0.7572253942489624,0.0
2026-04-17T00:17:59.707944,car,6,6,4,1382,ffnn_0layer,adam,0.01,0.7387283086776734,0.009248542785644532,1.2714647769927978,0.00044729938689999985,0.7572253942489624,0.0
2026-04-17T00:18:40.545883,car,6,6,4,1382,ffnn_0layer,adam,0.05,0.7479768514633178,0.011327105344563819,1.2710430860519408,0.0005351417863870563,0.7572253942489624,0.0
2026-04-17T00:19:33.258347,car,6,6,4,1382,ffnn_0layer,adam,0.1,0.7433525800704956,0.011327105344563819,1.2712586164474486,0.0005082070581062614,0.7572253942489624,0.0
2026-04-17T00:20:07.879381,car,6,6,4,1382,ffnn_0layer,sgd,0.001,0.7260115623474122,0.005894812517037404,1.2897404670715331,0.005457469895486823,0.7364161729812622,0.007840833629411724
2026-04-17T00:20:41.644927,car,6,6,4,1382,ffnn_0layer,sgd,0.005,0.7248554944992065,0.005894812517037404,1.2886172771453857,0.006416421593853594,0.7352601051330566,0.011208493643105524
2026-04-17T00:21:17.104967,car,6,6,4,1382,ffnn_0layer,sgd,0.01,0.7260115623474122,0.005894812517037404,1.287546420097351,0.007382209363392655,0.7410404562950135,0.01730246231391837
2026-04-17T00:21:51.125139,car,6,6,4,1382,ffnn_0layer,sgd,0.05,0.7352601051330566,0.006740976010063977,1.2831302404403686,0.010619450387133097,0.7479768753051758,0.020222955970633852
2026-04-17T00:22:24.948446,car,6,6,4,1382,ffnn_0layer,sgd,0.1,0.7456647157669067,0.014623230120077567,1.277708315849304,0.009391667459618025,0.760693621635437,0.010720950175727316
2026-04-17T00:22:57.632618,car,6,6,4,1382,sampler,adam,0.001,0.7433525800704956,0.011327105344563819,1.273687744140625,0.002180466973200762,0.7549132585525513,0.0028317763361409547
2026-04-17T00:23:30.426755,car,6,6,4,1382,sampler,adam,0.005,0.7341040372848511,0.0,1.271695852279663,1.760959689803733e-05,0.7572253942489624,0.0
2026-04-17T00:24:04.109945,car,6,6,4,1382,sampler,adam,0.01,0.7341040372848511,0.0,1.2716960191726685,2.4249361346116567e-05,0.7572253942489624,0.0
2026-04-17T00:24:39.009673,car,6,6,4,1382,sampler,adam,0.05,0.7387283086776734,0.009248542785644532,1.271482229232788,0.0004397537074562266,0.7572253942489624,0.0
2026-04-17T00:25:13.884234,car,6,6,4,1382,sampler,adam,0.1,0.7479768514633178,0.011327105344563819,1.2710430860519408,0.0005351417863870563,0.7572253942489624,0.0
2026-04-17T00:25:47.475182,car,6,6,4,1382,sampler,sgd,0.001,0.7283236980438232,0.0,1.294778871536255,0.0023740524089189002,0.731791889667511,0.014439304748193977
2026-04-17T00:26:30.473241,car,6,6,4,1382,sampler,sgd,0.005,0.7248554825782776,0.006936430931091309,1.2947428941726684,0.0024399682796048174,0.731791889667511,0.014439304748193977
2026-04-17T00:27:04.259229,car,6,6,4,1382,sampler,sgd,0.01,0.7213872790336608,0.013872838020324709,1.294668936729431,0.002560887693437413,0.731791889667511,0.014439304748193977
2026-04-17T00:27:39.823721,car,6,6,4,1382,sampler,sgd,0.05,0.7329479694366455,0.009248542785644532,1.292068362236023,0.004954599365800929,0.7387283086776734,0.0076684865693828095
2026-04-17T00:28:13.986566,car,6,6,4,1382,sampler,sgd,0.1,0.7398843765258789,0.014158881680704775,1.2880634784698486,0.007760182110375694,0.74219651222229,0.011327105344563819
2026-04-17T00:28:40.750565,pima,4,8,2,614,ffnn_0layer,adam,0.001,0.7584415435791015,0.01038959324360535,0.6398961424827576,0.0006364807339156928,0.7792207598686218,0.008213711145680517
2026-04-17T00:29:08.511671,pima,4,8,2,614,ffnn_0layer,adam,0.005,0.7584415435791015,0.01038959324360535,0.6394071221351624,0.0003141496277097823,0.7818181633949279,0.005194807052612304
2026-04-17T00:29:33.863298,pima,4,8,2,614,ffnn_0layer,adam,0.01,0.7610389471054078,0.013244192562225924,0.6396230578422546,0.0005549970619898702,0.7844155669212342,0.0063623132955557766
2026-04-17T00:29:59.591460,pima,4,8,2,614,ffnn_0layer,adam,0.05,0.7558441400527954,0.009718574974632879,0.63967866897583,0.0006937188473190539,0.7896103739738465,0.015145335013392724
2026-04-17T00:30:25.546629,pima,4,8,2,614,ffnn_0layer,adam,0.1,0.7584415316581726,0.0063623132955557766,0.6396786332130432,0.0008826780765690838,0.7922077775001526,0.018366416469289316
