dataset,depth,approach,optimizer,learning_rate,run_idx,seed,test_acc,test_ce,val_acc,val_ce
iris,4,ffnn_0layer,adam,0.001,1,1276,1.0,0.9514614939689636,0.9333333969116211,0.931878924369812
iris,4,ffnn_0layer,adam,0.001,2,1318,0.6000000238418579,0.9947043657302856,0.7333333492279053,0.9552987813949585
iris,4,ffnn_0layer,adam,0.001,3,1360,0.7333333492279053,0.9698339700698853,0.8666667342185974,0.9365924000740051
iris,4,ffnn_0layer,adam,0.001,4,1402,1.0,0.9438790082931519,0.9333333969116211,0.924506425857544
iris,4,ffnn_0layer,adam,0.001,5,1444,0.9333333969116211,0.9554469585418701,0.9333333969116211,0.9344164729118347
iris,4,ffnn_0layer,adam,0.005,1,1276,1.0,0.9433087706565857,0.9333333969116211,0.9232463240623474
iris,4,ffnn_0layer,adam,0.005,2,1318,1.0,0.9424301385879517,0.9333333969116211,0.9238793849945068
iris,4,ffnn_0layer,adam,0.005,3,1360,1.0,0.9430984854698181,0.9333333969116211,0.9231179356575012
iris,4,ffnn_0layer,adam,0.005,4,1402,1.0,0.9449915289878845,0.9333333969116211,0.9236929416656494
iris,4,ffnn_0layer,adam,0.005,5,1444,1.0,0.9445900321006775,0.9333333969116211,0.9236341118812561
iris,4,ffnn_0layer,adam,0.01,1,1276,1.0,0.9427490234375,0.9333333969116211,0.9235737919807434
iris,4,ffnn_0layer,adam,0.01,2,1318,1.0,0.9439842700958252,0.9333333969116211,0.9237992763519287
iris,4,ffnn_0layer,adam,0.01,3,1360,1.0,0.9446739554405212,0.9333333969116211,0.923544704914093
iris,4,ffnn_0layer,adam,0.01,4,1402,1.0,0.94607013463974,0.9333333969116211,0.9238244295120239
iris,4,ffnn_0layer,adam,0.01,5,1444,1.0,0.9453805685043335,0.9333333969116211,0.9237943291664124
iris,4,ffnn_0layer,adam,0.05,1,1276,1.0,0.9421602487564087,0.9333333969116211,0.9231941103935242
iris,4,ffnn_0layer,adam,0.05,2,1318,1.0,0.9406935572624207,0.9333333969116211,0.9203311800956726
iris,4,ffnn_0layer,adam,0.05,3,1360,1.0,0.9446194767951965,0.9333333969116211,0.9235079288482666
iris,4,ffnn_0layer,adam,0.05,4,1402,1.0,0.9413954019546509,0.9333333969116211,0.9245172142982483
iris,4,ffnn_0layer,adam,0.05,5,1444,1.0,0.9465276598930359,0.9333333969116211,0.9209017157554626
iris,4,ffnn_0layer,adam,0.1,1,1276,1.0,0.9388023018836975,0.9333333969116211,0.9215156435966492
iris,4,ffnn_0layer,adam,0.1,2,1318,1.0,0.9415560960769653,0.9333333969116211,0.9195823073387146
iris,4,ffnn_0layer,adam,0.1,3,1360,1.0,0.9429384469985962,0.9333333969116211,0.9243401885032654
iris,4,ffnn_0layer,adam,0.1,4,1402,1.0,0.9407129883766174,0.9333333969116211,0.9238559007644653
iris,4,ffnn_0layer,adam,0.1,5,1444,0.8000000715255737,0.9704666137695312,0.8666667342185974,0.9241707921028137
iris,4,ffnn_0layer,sgd,0.001,1,1276,0.9333333969116211,0.9704611301422119,0.9333333969116211,0.9502017498016357
